segment_id,BEAS-2B half life (h),BEAS-2B log2 steady state mRNA,Jurkat log2 steady state mRNA,WiDr log2 steady state mRNA
CN1_000001,2.00,-0.136,-0.284,-0.791
CN1_000002,1.83,-0.196,-0.304,-1.022
CN1_000003,1.93,0.042,-0.623,-0.982
CN1_000004,2.13,0.188,-0.141,-0.250
CN1_000005,3.00,0.155,0.182,-0.031
CN1_000006,1.81,-0.435,-0.609,-1.446
CN1_000007,2.01,-0.240,-0.672,-1.203
CN1_000008,2.70,-0.613,-0.783,-1.639
CN1_000009,2.46,-0.911,-1.276,-2.370
CN1_000010,2.44,-0.206,-0.496,-0.451
CN1_000011,2.94,0.372,0.774,1.123
CN1_000012,1.51,-0.926,-0.970,-1.329
CN1_000013,2.64,0.446,0.477,1.003
CN1_000014,nd,nd,nd,nd
CN1_000015,nd,0.363,-0.118,1.289
CN1_000016,nd,0.256,1.088,2.095
CN1_000017,2.06,-0.562,-0.707,-1.348
CN1_000018,3.07,0.345,0.724,1.768
CN1_000019,2.51,0.062,-0.316,-0.720
CN1_000020,2.35,-0.058,-0.316,-0.310
CN1_000021,1.83,-0.530,-0.514,-1.104
CN1_000022,2.15,0.184,0.880,1.341
CN1_000023,nd,-0.311,0.351,1.837
CN1_000024,nd,0.251,-0.005,0.420
CN1_000025,nd,-0.607,0.176,-0.379
CN1_000026,nd,-0.850,-0.337,-0.298
CN1_000027,1.89,-0.325,-0.094,-0.120
CN1_000028,2.54,0.162,0.052,-0.539
CN1_000029,nd,nd,nd,nd
CN1_000030,2.57,-0.070,-0.225,-0.419
CN1_000031,nd,-1.180,-0.787,-1.132
CN1_000032,1.93,-0.314,-0.540,-1.323
CN1_000033,2.22,-0.309,-0.338,-0.838
CN1_000034,2.70,-0.343,-0.153,-0.357
CN1_000035,nd,-0.422,nd,-2.359
CN1_000036,2.14,-0.644,-0.586,-1.721
CN1_000037,2.27,-0.980,-1.389,-2.330
CN1_000038,3.27,-0.190,-0.056,1.004
CN1_000039,3.57,-0.686,-0.532,-0.451
CN1_000040,2.39,-0.804,-0.390,-0.743
CN1_000041,2.00,-0.095,-0.152,-0.564
CN1_000042,nd,-0.091,-0.024,2.226
CN1_000043,2.37,0.302,0.295,0.503
CN1_000044,1.98,-0.244,-0.503,-1.524
CN1_000045,2.71,0.238,-0.072,-0.569
CN1_000046,nd,0.129,0.358,1.012
CN1_000047,nd,nd,nd,2.012
CN1_000048,1.60,-0.513,-0.920,-1.760
CN1_000049,2.33,-0.166,-0.573,-0.598
CN1_000050,2.50,0.041,0.192,0.158
CN1_000051,1.93,-0.328,0.106,0.022
CN1_000052,1.85,-0.698,-0.693,-1.562
CN1_000053,2.17,-0.483,-0.861,-1.054
CN1_000054,2.68,0.140,-0.057,0.355
CN1_000055,2.52,0.197,-0.428,-0.650
CN1_000056,nd,0.648,0.547,0.944
CN1_000057,2.39,nd,nd,nd
CN1_000058,3.33,-1.955,-2.140,-2.226
CN1_000059,2.56,nd,nd,nd
CN1_000060,1.83,-0.434,-0.431,-1.437
CN1_000061,1.89,-0.617,-0.731,-0.962
CN1_000062,2.29,-0.053,-0.815,-1.146
CN1_000063,2.06,-0.196,-0.382,-0.666
CN1_000064,3.12,-1.285,-2.206,-2.558
CN1_000065,1.72,-0.728,-0.928,-1.448
CN1_000066,2.09,0.069,-0.274,-0.277
CN1_000067,1.19,-1.450,-1.066,-2.725
CN1_000068,2.80,-1.446,-1.067,-0.331
CN1_000069,2.15,0.052,-0.232,-0.193
CN1_000070,nd,0.210,-0.216,0.244
CN1_000071,2.62,0.362,0.062,0.048
CN1_000072,1.92,-0.404,-0.325,-1.154
CN1_000073,nd,-0.414,-0.427,0.095
CN1_000074,2.89,0.574,0.584,0.950
CN1_000075,nd,-0.585,0.602,0.729
CN1_000076,2.19,-1.051,-0.558,-0.456
CN1_000077,nd,0.538,0.547,2.292
CN1_000078,nd,-0.412,nd,nd
CN1_000079,nd,0.634,0.975,1.655
CN1_000080,3.66,0.489,0.562,0.614
CN1_000081,nd,0.579,2.186,3.998
CN1_000082,2.85,0.537,0.137,-0.522
CN1_000083,nd,-0.062,-0.295,-0.252
CN1_000084,1.91,-0.274,-0.363,-0.819
CN1_000085,1.67,-1.569,-1.352,-1.599
CN1_000086,nd,nd,nd,nd
CN1_000087,nd,0.432,0.000,0.478
CN1_000088,2.96,0.296,0.243,0.619
CN1_000089,nd,0.419,1.024,1.391
CN1_000090,2.98,0.470,0.555,0.033
CN1_000091,3.01,0.210,0.642,1.200
CN1_000092,2.15,-0.225,-0.032,0.218
CN1_000093,3.07,0.402,0.118,0.214
CN1_000094,2.60,0.087,-0.480,0.518
CN1_000095,2.36,0.006,-0.027,-0.258
CN1_000096,2.37,-0.605,0.181,0.026
CN1_000097,nd,0.214,0.952,1.247
CN1_000098,2.11,-0.137,-0.182,-0.301
CN1_000099,2.25,-0.001,0.058,0.190
CN1_000100,2.89,0.500,0.272,0.400
CN1_000101,nd,nd,nd,nd
CN1_000102,nd,0.081,1.793,2.370
CN1_000103,nd,0.359,0.066,0.475
CN1_000104,nd,-0.097,0.812,0.864
CN1_000105,3.09,0.389,1.010,1.847
CN1_000106,3.05,-0.047,0.059,0.247
CN1_000107,2.74,-0.032,-0.798,-0.966
CN1_000108,1.95,-0.814,-0.661,-1.908
CN1_000109,1.80,-0.330,-0.945,-1.684
CN1_000110,2.86,0.018,0.103,-0.311
CN1_000111,2.16,-0.352,-0.665,-0.608
CN1_000112,2.03,-0.555,-0.843,-1.109
CN1_000113,2.39,-0.175,-0.634,-1.172
CN1_000114,1.85,-0.662,-0.475,-0.963
CN1_000115,1.94,-0.242,-0.203,-1.334
CN1_000116,1.94,-0.194,-0.174,-1.084
CN1_000117,2.91,0.285,0.184,0.144
CN1_000118,2.38,-0.193,-0.306,-0.782
CN1_000119,nd,-0.188,0.647,1.082
CN1_000120,nd,0.262,1.037,1.890
CN1_000121,2.01,-0.052,-0.133,-0.747
CN1_000122,2.70,0.111,-0.332,-1.352
CN1_000123,1.93,-0.243,-0.203,-1.012
CN1_000124,1.98,-0.089,0.116,-0.155
CN1_000125,3.03,-0.749,-1.484,-1.195
CN1_000126,2.33,-0.086,-0.287,-0.730
CN1_000127,2.95,0.299,0.084,-0.408
CN1_000128,2.14,-0.058,-0.393,-0.942
CN1_000129,1.80,-0.169,-0.477,-0.771
CN1_000130,2.73,0.004,0.341,0.225
CN1_000131,2.21,-0.068,0.123,0.128
CN1_000133,2.71,0.083,0.097,0.428
CN1_000134,1.82,-0.324,-0.305,-0.085
CN1_000135,2.73,0.074,-0.073,-0.008
CN1_000136,nd,0.543,1.667,3.006
CN1_000137,2.09,nd,nd,nd
CN1_000138,2.97,0.585,0.156,0.769
CN1_000139,1.88,-0.038,-0.717,-1.601
CN1_000140,3.73,0.533,0.344,0.683
CN1_000141,1.81,-0.145,-0.744,-0.597
CN1_000142,nd,-0.854,-1.076,-0.860
CN1_000143,nd,nd,nd,nd
CN1_000144,nd,nd,nd,nd
CN1_000145,nd,0.045,0.462,1.357
CN1_000146,nd,nd,nd,nd
CN1_000147,2.20,-0.365,-0.574,-1.289
CN1_000148,2.09,-0.421,-0.711,-1.910
CN1_000149,1.90,-0.317,-0.627,-1.378
CN1_000150,2.87,0.829,-0.263,-0.497
CN1_000151,2.20,-0.044,-0.361,-0.589
CN1_000152,2.89,-0.273,0.605,-0.047
CN1_000153,1.74,-0.499,-0.819,-1.487
CN1_000154,nd,0.266,0.313,0.396
CN1_000155,2.17,0.331,0.482,0.190
CN1_000156,2.90,-0.068,-0.100,0.237
CN1_000157,2.81,0.574,0.286,-0.299
CN1_000158,1.36,-0.987,-0.385,-0.624
CN1_000159,2.58,0.297,0.019,-0.044
CN1_000160,2.78,-0.260,0.718,0.532
CN1_000161,nd,0.305,-0.780,-1.328
CN1_000162,nd,nd,nd,nd
CN1_000163,2.91,0.089,0.086,-0.651
CN1_000164,2.69,0.171,0.321,0.588
CN1_000165,1.81,-0.245,-0.585,-1.177
CN1_000166,2.05,-1.776,-2.737,-2.462
CN1_000167,2.39,-0.246,0.863,0.773
CN1_000168,2.12,-0.119,-0.197,-0.515
CN1_000169,1.81,-0.473,-0.704,-1.997
CN1_000170,2.34,0.087,-0.103,-0.437
CN1_000171,2.22,-0.309,-0.662,-1.312
CN1_000172,2.48,0.126,-0.106,-0.564
CN1_000173,1.90,0.083,-0.642,-1.206
CN1_000174,2.42,0.083,-0.871,-0.849
CN1_000175,2.02,0.098,-0.287,-0.445
CN1_000176,1.86,-0.395,-0.811,-1.687
CN1_000177,1.96,-0.128,-0.461,-0.930
CN1_000178,2.12,-0.517,-0.922,-1.562
CN1_000179,1.99,-1.004,-0.992,-1.966
CN1_000180,1.68,-0.495,-1.173,-2.068
CN1_000181,2.46,-1.129,-1.730,-3.119
CN1_000182,2.00,-0.133,-0.305,-0.882
CN1_000183,1.59,-1.016,-0.280,-0.893
CN1_000184,3.34,-1.302,-0.839,0.079
CN1_000185,nd,-0.318,-0.856,-0.806
CN1_000186,2.65,0.316,0.713,0.776
CN1_000187,2.13,0.204,0.344,0.247
CN1_000188,nd,0.123,-0.332,-0.016
CN1_000189,nd,-0.353,0.167,0.576
CN1_000190,1.67,-0.315,-0.638,-1.527
CN1_000191,3.00,-0.178,-0.156,-0.293
CN1_000192,2.50,-0.245,-0.393,0.082
CN1_000193,1.59,-0.201,-0.026,0.428
CN1_000194,2.14,0.221,0.062,-0.300
CN1_000195,3.61,0.389,0.528,1.095
CN1_000196,nd,0.201,-0.636,1.309
CN1_000197,3.00,-4.615,-3.562,-3.820
CN1_000198,2.52,-0.004,-0.010,-0.367
CN1_000199,3.25,0.604,0.801,1.647
CN1_000200,nd,0.071,0.746,1.376
CN1_000201,nd,nd,nd,nd
CN1_000202,2.34,0.053,0.254,0.166
CN1_000203,2.89,0.321,0.143,-0.061
CN1_000204,2.62,0.025,0.187,-0.186
CN1_000205,1.93,-0.192,-0.328,-0.678
CN1_000206,2.09,-0.039,-0.080,-0.181
CN1_000207,2.89,0.127,-0.160,0.097
CN1_000208,nd,nd,nd,nd
CN1_000209,2.12,0.060,-0.086,0.254
CN1_000210,2.27,0.014,1.278,2.006
CN1_000211,1.91,-0.564,-0.624,-1.071
CN1_000212,4.05,-1.389,-1.213,-1.496
CN1_000213,1.80,-0.918,-1.384,-2.053
CN1_000214,1.84,-0.404,-0.370,-1.069
CN1_000215,2.56,0.205,-0.554,-0.409
CN1_000216,nd,-0.338,-0.881,-0.249
CN1_000217,3.29,0.683,0.031,0.068
CN1_000218,2.35,-0.108,-0.341,-0.391
CN1_000219,1.72,-0.474,-0.958,-1.517
CN1_000220,2.12,nd,nd,nd
CN1_000221,nd,-0.266,-0.435,-0.470
CN1_000222,nd,-0.102,0.595,0.999
CN1_000223,nd,nd,nd,nd
CN1_000224,2.59,0.178,0.363,0.605
CN1_000225,1.99,0.116,0.136,0.391
CN1_000226,nd,0.240,-0.116,-0.482
CN1_000227,2.13,0.032,-0.319,-0.684
CN1_000228,2.65,-0.387,-0.197,-0.441
CN1_000229,2.68,0.169,-0.191,0.760
CN1_000230,nd,-0.414,0.233,0.863
CN1_000231,1.82,-0.838,-1.164,-1.402
CN1_000232,2.27,-0.145,-1.109,-1.475
CN1_000233,2.81,nd,nd,-0.630
CN1_000234,3.12,0.287,0.592,0.433
CN1_000235,nd,0.758,0.774,1.627
CN1_000236,nd,0.223,0.652,2.344
CN1_000237,2.19,0.197,-0.089,0.315
CN1_000239,2.65,0.300,0.001,0.047
CN1_000240,2.38,0.088,-0.155,-0.785
CN1_000241,2.06,-1.525,-0.857,-0.282
CN1_000242,3.07,-0.523,-0.953,-0.465
CN1_000243,2.04,0.131,0.640,1.161
CN1_000245,1.98,0.040,0.468,0.404
CN1_000246,nd,-0.066,0.065,0.007
CN1_000247,3.20,-0.822,-1.259,-0.852
CN1_000248,nd,0.909,0.999,1.691
CN1_000249,2.65,-0.008,0.085,0.674
CN1_000250,2.28,-0.164,-0.080,0.027
CN1_000251,nd,-0.496,0.126,1.219
CN1_000252,3.44,0.789,0.659,1.658
CN1_000253,nd,-0.012,0.129,-0.056
CN1_000254,nd,-1.072,-2.024,-2.165
CN1_000255,1.52,-0.974,-0.637,-1.571
CN1_000256,2.46,-1.139,-1.511,-2.142
CN1_000257,2.16,-0.767,-0.329,-1.342
CN1_000258,1.70,-0.329,-0.668,-1.077
CN1_000259,2.69,-0.559,-0.996,-0.624
CN1_000260,2.30,-0.849,-0.771,-0.906
CN1_000261,2.09,-0.922,-0.991,-1.271
CN1_000262,2.99,-0.251,-0.426,0.311
CN1_000263,3.34,-0.178,-0.804,-1.187
CN1_000264,nd,0.074,0.622,0.526
CN1_000265,2.64,0.268,0.203,-0.049
CN1_000266,nd,-0.212,0.119,-0.516
CN1_000267,1.86,-0.747,-0.621,-1.345
CN1_000268,2.72,0.038,0.255,0.397
CN1_000269,2.36,-0.262,0.101,-0.195
CN1_000270,nd,-4.383,-4.041,-3.675
CN1_000271,2.85,-0.446,-0.481,-0.539
CN1_000272,nd,0.051,nd,0.900
CN1_000273,2.29,0.136,0.245,-0.823
CN1_000274,nd,0.071,-0.705,0.452
CN1_000275,nd,0.576,1.738,2.129
CN1_000276,1.80,-0.718,-0.613,-0.845
CN1_000277,1.89,-0.411,-0.555,-1.062
CN1_000278,nd,nd,nd,nd
CN1_000279,nd,nd,nd,nd
CN1_000280,nd,0.552,0.507,1.063
CN1_000281,2.37,0.226,-0.068,-0.094
CN1_000282,3.17,0.745,0.490,1.221
CN1_000283,2.92,0.158,0.667,0.817
CN1_000284,nd,0.465,nd,4.087
CN1_000285,2.00,-0.142,-0.365,-0.352
CN1_000286,2.60,0.083,0.514,1.143
CN1_000287,1.83,-0.333,-0.773,-0.575
CN1_000288,2.46,-0.026,-0.462,-0.564
CN1_000289,2.69,-0.037,-0.075,0.255
CN1_000290,1.92,-0.083,0.004,-0.051
CN1_000291,2.13,0.108,0.140,-0.464
CN1_000292,3.62,0.493,1.065,1.403
CN1_000293,2.71,-0.286,-0.399,-0.832
CN1_000294,nd,0.064,0.602,0.807
CN1_000295,nd,0.063,0.203,0.586
CN1_000296,nd,-0.447,-0.381,-0.092
CN1_000297,nd,0.822,1.104,1.783
CN1_000298,nd,-0.070,-0.041,0.276
CN1_000299,nd,nd,nd,nd
CN1_000300,2.34,0.078,-0.027,-0.037
CN1_000301,2.42,0.065,-0.244,-0.350
CN1_000302,2.46,-0.040,-0.105,-0.472
CN1_000303,1.91,-0.857,-0.706,-1.107
CN1_000304,nd,-0.518,-0.338,-0.031
CN1_000305,nd,0.045,-0.288,0.088
CN1_000306,2.56,0.137,-0.195,0.121
CN1_000307,1.95,-0.209,-0.165,-1.128
CN1_000308,nd,-0.304,0.261,1.297
CN1_000309,nd,0.210,1.550,2.477
CN1_000310,2.20,0.091,0.086,0.639
CN1_000311,nd,-0.969,0.635,-0.001
CN1_000312,3.08,0.417,0.798,1.137
CN1_000313,2.59,-0.127,0.185,0.234
CN1_000314,3.34,0.376,0.829,1.867
CN1_000315,2.67,-0.241,1.442,2.025
CN1_000316,nd,0.111,-0.221,0.260
CN1_000317,nd,nd,nd,nd
CN1_000318,2.74,0.340,0.050,-0.126
CN1_000319,2.73,0.173,0.007,-0.193
CN1_000320,nd,-0.191,nd,3.685
CN1_000321,2.81,0.117,-0.387,-0.567
CN1_000322,2.39,0.044,-0.217,-0.129
CN1_000323,1.83,-0.264,-0.748,-0.331
CN1_000324,nd,nd,nd,nd
CN1_000325,3.83,0.223,-0.374,-0.378
CN1_000326,3.17,0.418,0.981,2.056
CN1_000327,nd,-0.158,0.975,0.712
CN1_000328,2.30,-0.378,-1.174,-1.545
CN1_000329,1.76,-0.334,-0.754,-1.349
CN1_000330,1.91,-0.438,-1.192,-1.600
CN1_000331,2.25,-0.032,0.109,0.101
CN1_000332,nd,0.701,0.576,0.919
CN1_000333,nd,-0.204,0.042,0.560
CN1_000334,2.72,0.209,0.406,-0.097
CN1_000336,3.05,-2.434,1.253,2.265
CN1_000337,2.80,0.303,0.212,0.029
CN1_000338,2.32,-0.102,-0.546,-0.623
CN1_000339,3.27,0.519,0.436,-0.178
CN1_000340,nd,0.034,0.825,1.176
CN1_000341,2.11,-0.476,-0.429,-1.069
CN1_000342,nd,0.487,1.372,1.954
CN1_000343,2.86,-0.169,-0.051,-0.060
CN1_000344,2.20,-0.164,-0.664,-1.145
CN1_000345,1.99,-0.250,-0.170,-0.163
CN1_000346,nd,nd,nd,nd
CN1_000347,nd,-0.921,0.856,1.540
CN1_000348,3.12,nd,nd,nd
CN1_000349,2.64,0.394,0.606,0.493
CN1_000350,1.82,-0.405,-0.643,-1.446
CN1_000351,1.80,-0.421,-0.663,-1.346
CN1_000352,nd,nd,nd,nd
CN1_000353,2.15,-0.028,-0.146,-0.498
CN1_000354,2.28,-0.302,-0.444,-0.524
CN1_000355,2.81,-0.243,-0.480,0.330
CN1_000356,2.68,0.117,0.575,0.934
CN1_000357,2.86,-0.043,-0.436,-0.138
CN1_000358,2.98,0.632,0.257,0.544
CN1_000359,nd,-0.262,-0.353,-0.268
CN1_000360,1.78,-0.354,-0.569,-1.083
CN1_000361,2.87,0.278,0.156,0.220
CN1_000362,3.57,-3.726,-3.954,-4.119
CN1_000363,4.45,0.724,0.732,0.837
CN1_000364,1.95,-0.297,-0.609,-0.934
CN1_000365,nd,-1.160,-0.738,-1.588
CN1_000366,nd,-0.099,-0.006,0.786
CN1_000367,nd,0.348,-0.032,0.802
CN1_000368,2.23,-0.117,0.712,0.722
CN1_000369,2.08,-0.929,-0.652,-1.396
CN1_000370,2.28,0.338,-1.226,-0.371
CN1_000371,2.06,-0.139,-0.340,-0.582
CN1_000372,1.66,-0.463,-0.756,-1.630
CN1_000374,nd,-0.181,-0.398,-0.153
CN1_000375,nd,nd,nd,nd
CN1_000376,nd,-0.326,0.793,0.397
CN1_000377,2.29,nd,nd,nd
CN1_000378,2.25,-0.172,-0.205,-0.799
CN1_000379,nd,0.325,0.899,1.746
CN1_000380,2.09,-0.137,-0.058,-0.704
CN1_000381,2.65,0.131,0.335,0.798
CN1_000382,3.06,0.241,0.337,0.354
CN1_000383,nd,-0.337,-0.142,0.204
CN1_000384,4.34,0.863,1.149,1.542
CN1_000385,nd,0.461,1.404,2.879
CN1_000386,nd,-0.199,0.748,1.256
CN1_000387,2.59,-1.144,0.640,1.320
CN1_000388,nd,0.169,0.039,-0.350
CN1_000389,nd,0.331,0.484,1.281
CN1_000390,nd,-0.327,0.164,0.187
CN1_000391,nd,0.444,0.132,0.590
CN1_000392,2.70,0.081,-0.396,0.149
CN1_000393,2.99,0.209,0.326,0.153
CN1_000394,nd,0.143,1.370,2.095
CN1_000395,3.13,0.696,0.495,1.029
CN1_000396,2.25,-0.069,-0.240,-0.932
CN1_000397,2.07,-0.123,-0.520,-0.693
CN1_000398,2.13,-0.179,-0.403,-0.793
CN1_000399,1.88,-0.443,-0.366,-1.020
CN1_000400,3.19,0.635,0.394,0.659
CN1_000401,2.37,-0.162,-0.460,-0.496
CN1_000402,nd,0.113,-0.300,-0.448
CN1_000403,2.45,-0.367,-0.785,-0.105
CN1_000404,1.79,-0.858,-0.242,-0.461
CN1_000405,2.38,-0.591,-0.977,-2.117
CN1_000407,nd,-0.241,0.227,0.512
CN1_000408,2.13,-0.947,-1.542,-2.170
CN1_000409,2.02,-0.387,-0.883,-1.552
CN1_000411,2.43,0.280,-0.110,-0.686
CN1_000412,nd,nd,nd,nd
CN1_000413,nd,nd,nd,nd
CN1_000414,2.77,nd,nd,nd
CN1_000415,1.96,-0.309,0.017,-0.156
CN1_000416,3.05,0.342,0.703,1.059
CN1_000417,2.28,-0.976,-1.370,-2.688
CN1_000418,1.90,-0.963,-1.113,-2.418
CN1_000419,2.72,0.002,-0.101,-0.682
CN1_000420,2.02,-0.002,-0.366,-0.195
CN1_000421,3.14,0.023,0.525,1.534
CN1_000422,1.76,-0.604,-1.516,-1.996
CN1_000423,2.98,0.413,0.078,0.333
CN1_000424,2.78,0.203,-0.275,0.279
CN1_000425,2.09,-0.092,-0.293,-0.752
CN1_000426,nd,0.496,0.773,1.260
CN1_000427,nd,-0.559,-0.857,0.137
CN1_000428,nd,0.325,0.735,1.949
CN1_000429,3.14,0.184,0.417,0.807
CN1_000430,2.55,0.098,0.409,0.506
CN1_000431,2.10,-0.233,-0.399,-1.176
CN1_000432,nd,nd,nd,nd
CN1_000433,nd,0.465,0.552,0.399
CN1_000434,2.62,0.044,-0.003,-1.131
CN1_000435,1.87,-0.511,-0.611,-1.435
CN1_000436,2.06,-0.674,-0.872,-1.630
CN1_000437,1.65,-0.551,-1.154,-1.966
CN1_000438,2.09,-0.153,-0.295,-0.425
CN1_000439,3.38,0.244,0.385,0.673
CN1_000440,2.20,-0.021,0.126,0.108
CN1_000441,2.31,0.049,-0.206,-0.809
CN1_000442,nd,-0.313,0.343,1.209
CN1_000443,2.15,-0.738,-0.067,-0.237
CN1_000444,2.41,-0.025,0.003,-0.040
CN1_000445,2.46,0.171,-0.108,-0.179
CN1_000446,nd,0.691,0.739,1.080
CN1_000447,nd,-0.046,0.258,0.407
CN1_000448,2.77,0.512,0.651,0.633
CN1_000449,2.80,0.558,0.000,-0.168
CN1_000450,2.03,-0.247,-0.094,-0.521
CN1_000451,nd,nd,nd,nd
CN1_000452,2.12,-0.034,-0.798,-0.676
CN1_000453,2.41,0.098,-0.058,-0.128
CN1_000454,2.19,-0.251,0.160,0.250
CN1_000456,2.42,-0.164,0.501,0.538
CN1_000457,nd,-0.886,1.017,1.307
CN1_000458,nd,0.239,2.698,4.535
CN1_000459,nd,nd,nd,nd
CN1_000460,3.32,0.558,0.090,-0.575
CN1_000461,2.00,-0.754,-0.566,-1.259
CN1_000462,nd,0.357,0.696,1.060
CN1_000463,2.58,0.237,0.602,0.586
CN1_000464,2.65,0.127,0.278,-0.183
CN1_000465,nd,-0.343,1.098,1.868
CN1_000466,2.60,0.237,0.140,-0.345
